Solucion,Ruta,Dominada,DominadaPor,RutaDuplicada,ObjetivosDuplicados
1,52->18->0->96,False,,False,False
2,52->8->26->5->96,False,,False,False
3,52->8->31->0->4->96,False,,False,False
4,52->18->0->4->96,False,,False,False
5,52->18->7->39->5->96,False,,False,False
6,52->18->0->5->96,False,,False,False
7,52->19->26->5->96,False,,False,False
8,52->40->6->0->96,False,,False,False
9,52->18->7->5->96,False,,False,False
10,52->19->5->96,False,,False,False
11,52->19->22->96,False,,False,False
12,52->19->9->4->96,False,,False,False
13,52->8->41->5->96,False,,False,False
14,52->19->9->0->4->96,False,,False,False
15,52->40->6->5->96,False,,False,False
16,52->19->9->4->5->96,False,,False,False
17,52->19->18->0->96,False,,False,False
18,52->19->18->0->4->96,False,,False,False
19,52->19->45->0->5->96,False,,False,False
20,52->18->0->13->5->96,False,,False,False
21,52->8->20->5->96,False,,False,False
22,52->8->71->5->96,False,,False,False
23,52->19->18->7->5->96,False,,False,False
24,52->19->45->0->4->96,False,,False,False
25,52->40->24->7->3->0->96,False,,False,False
26,52->18->50->55->5->96,False,,False,False
27,52->8->35->0->4->96,False,,False,False
28,52->19->18->50->55->5->96,False,,False,False
29,52->19->60->33->54->0->96,False,,False,False
30,52->19->60->33->54->18->0->96,False,,False,False
