Iteracion,TamanoPareto,PoblacionUnica,DiversidadRutas,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,PromedioIntentosSinMejora
1,10,30,0.9548177867069743,32.595099345668615,0.0018911284788719618,3.3074576583270625,408.2925096707574,1.3
2,13,30,0.9528546422059384,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,1.5666666666666667
3,14,30,0.9477872764287503,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,2.433333333333333
4,14,30,0.9461026308017872,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,3.066666666666667
5,16,30,0.9493139329979661,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,3.6666666666666665
6,19,30,0.9400995620714508,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,4.133333333333334
7,21,30,0.9375652659006454,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,5.266666666666667
8,22,30,0.9384134492755367,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,5.966666666666667
9,22,30,0.9379986613922239,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,5.366666666666666
10,22,30,0.9384239424324297,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,4.633333333333334
11,22,30,0.9372444177186195,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,4.233333333333333
12,23,30,0.9352618891513416,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,4.933333333333334
13,23,30,0.9319686147373776,32.595099345668615,0.0018911284788719618,2.799579872320858,408.2925096707574,4.533333333333333
14,20,30,0.93418088522551,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,5.066666666666666
15,20,30,0.9250567886774784,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,6.4
16,20,30,0.920005479833066,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,6.7
17,22,30,0.9221562951735366,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,7.233333333333333
18,22,30,0.9264228750087291,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,5.166666666666667
19,22,30,0.9221749661299886,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,6.533333333333333
20,22,30,0.9294051269403595,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,6.433333333333334
21,22,30,0.9303707653021419,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,6.966666666666667
22,22,30,0.934547857073402,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,8.033333333333333
23,22,30,0.9359798677167173,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,6.266666666666667
24,22,30,0.9360451249371471,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,5.633333333333334
25,22,30,0.934807955140436,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,5.533333333333333
26,22,30,0.9299239810810918,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,4.633333333333334
27,22,30,0.9257171505312684,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,5.733333333333333
28,23,30,0.9285965474667834,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,6.933333333333334
29,25,30,0.9337973438605632,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,6.666666666666667
30,25,30,0.9340190243726595,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,5.533333333333333
31,26,30,0.9339543105297884,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.9
32,26,30,0.9296295108785072,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.366666666666666
33,26,30,0.9303236168488488,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.8
34,27,30,0.9301208204667156,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.633333333333334
35,27,30,0.9294277531992382,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.133333333333334
36,27,30,0.9286739053524042,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.433333333333334
37,27,30,0.9248954953468139,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.4
38,28,30,0.9357757799476065,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.266666666666667
39,28,30,0.9272946978765277,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.5
40,28,30,0.9197502150392618,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,3.1333333333333333
41,28,30,0.9229470691071013,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,3.566666666666667
42,28,30,0.9171631326431017,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,3.3
43,28,30,0.9144782555735904,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,3.533333333333333
44,28,30,0.9150266944878347,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.2
45,28,30,0.90991600991601,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.566666666666666
46,28,30,0.9103305634340116,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,3.966666666666667
47,28,30,0.9141130612682338,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.9
48,28,30,0.9154195431271546,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.833333333333333
49,28,30,0.9213432530774983,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.866666666666666
50,28,30,0.9253555885553857,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.9
51,28,30,0.9284941048734153,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.066666666666666
52,29,30,0.9231866026693613,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.933333333333334
53,29,30,0.9205036661933214,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.633333333333334
54,29,30,0.9271112448140846,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.8
55,29,30,0.9220204029686789,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.0
56,29,30,0.9220730131937028,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.233333333333333
57,29,30,0.9197416219613828,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.233333333333333
58,29,30,0.9281012915039284,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.133333333333333
59,29,30,0.9323801508385687,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.566666666666666
60,29,30,0.928724407776132,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.366666666666667
61,29,30,0.9198941374904864,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.366666666666666
62,29,30,0.9162036494795116,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.666666666666667
63,29,30,0.9147798306418997,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.166666666666667
64,29,30,0.9175860639741819,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.666666666666667
65,29,30,0.9185664029832387,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.766666666666667
66,29,30,0.9211955043891282,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.566666666666666
67,29,30,0.9245244082513219,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.8
68,29,30,0.9227977259011741,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.4
69,29,30,0.9195721519859453,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.366666666666666
70,29,30,0.9187608496229186,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.766666666666667
71,29,30,0.9143922775819328,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,2.9
72,29,30,0.912485649727029,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,2.9
73,29,30,0.9183864028691615,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,2.9
74,29,30,0.9127463341256444,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,3.7333333333333334
75,29,30,0.9167440590948837,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,4.733333333333333
76,30,30,0.9187809792702347,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,5.3
77,30,30,0.9217945812493539,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.033333333333333
78,30,30,0.9256586830992231,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.833333333333333
79,30,30,0.9234785739417108,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,6.933333333333334
80,30,30,0.9247570210480643,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.5
81,30,30,0.9223317090946903,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.866666666666666
82,30,30,0.9323349114583326,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.3
83,30,30,0.9263474974758923,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,7.4
84,30,30,0.9290632224647571,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.2
85,30,30,0.9264118840578406,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.433333333333334
86,30,30,0.9227707828569898,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,8.666666666666666
