SolucionReferencia,Solucion,Ruta,Saltos,Latencia,Perdida,Jitter,AnchoBanda,Seed,SeedsEncontrada
1,4,52->8->31->0->4->96,5,32.595099345668615,0.0094881357057065,8.997522501124422,87.36729559635947,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
2,23,52->8->35->0->4->96,5,39.90176115582595,0.0124245007900364,9.318790641110626,104.9906452443194,1,"1,2,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
3,32,52->8->41->0->4->96,5,45.220932391797305,0.0113468481075127,10.420705252387588,104.9906452443194,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,23,24,25,26,27,28,29,30"
4,31,52->8->26->7->18->0->4->96,7,48.52194631209497,0.0092505115651574,13.167264405016148,104.9906452443194,1,"1,3,4,15,17,20,23,30"
5,2,52->18->0->4->96,4,49.20042703072031,0.004568564824496,7.148326169594593,191.39825806115925,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
6,3,52->8->26->5->96,4,54.67184394729789,0.007020244694735,4.635326058370969,104.9906452443194,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
7,19,52->8->71->5->96,4,55.96905905010976,0.0070031171467477,5.1201135864508815,104.9906452443194,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
8,26,52->8->20->5->96,4,56.78412120989967,0.0069031823385388,6.701224152072496,104.9906452443194,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
9,25,52->19->9->0->4->96,5,63.78270741990531,0.008596878873352,8.28198638238044,237.02158543918435,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
10,20,52->19->18->0->4->96,5,66.23581777404365,0.0072946798125587,8.587472812589201,237.02158543918435,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
11,13,52->8->41->5->96,4,70.16844484173127,0.0068394615602183,5.588022128735142,104.9906452443194,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
