Solucion,Ruta,Saltos,Latencia,Perdida,Jitter,AnchoBanda,Seed
1,52->18->0->96,3,76.00926963713992,0.0018911284788719,5.482324348171019,191.39825806115925,1
2,52->18->0->4->96,4,49.20042703072031,0.004568564824496,7.148326169594593,191.39825806115925,1
3,52->8->26->5->96,4,54.67184394729789,0.007020244694735,4.635326058370969,104.9906452443194,1
4,52->8->31->0->4->96,5,32.595099345668615,0.0094881357057065,8.997522501124422,87.36729559635947,1
5,52->18->7->39->5->96,5,97.24147504105616,0.0094483477389912,2.799579872320858,191.39825806115925,1
6,52->19->5->96,3,78.48369407641349,0.0051094211668836,4.774695711559714,237.02158543918435,1
7,52->18->7->5->96,4,80.10943367094109,0.0079254339601771,3.3074576583270625,191.39825806115925,1
8,52->19->22->96,3,104.0888706151946,0.0048824634410687,6.668926761412449,237.02158543918435,1
9,52->19->26->5->96,4,85.33211317188263,0.0057636462204131,3.3698800742141355,129.61621770616708,1
10,52->40->6->5->96,4,71.88285198784207,0.0065173839518483,7.805829597834694,437.82494266122296,1
11,52->19->9->4->96,4,76.10462171210511,0.0074882317174171,5.373128045900009,237.02158543918435,1
12,52->40->6->0->96,4,117.8183757689714,0.0065034124565241,9.48272492796548,329.225065645651,1
13,52->8->41->5->96,4,70.16844484173127,0.0068394615602183,5.588022128735142,104.9906452443194,1
14,52->19->18->7->5->96,5,97.14482441426442,0.0106423557371957,4.74660430132167,237.02158543918435,1
15,52->40->6->18->0->96,5,114.50149034138984,0.0058525566157039,13.434624384500104,444.7787074988309,1
16,52->18->50->55->5->96,5,115.51562361105816,0.0082035489912309,3.0303458827448297,191.39825806115925,1
17,52->18->0->5->96,4,75.60181910067071,0.005578090475268,3.8980187632171095,191.39825806115925,1
18,52->19->45->0->4->96,5,75.30522030674594,0.0082149389092333,7.385226162925992,195.0598831034584,1
19,52->8->71->5->96,4,55.96905905010976,0.0070031171467477,5.1201135864508815,104.9906452443194,1
20,52->19->18->0->4->96,5,66.23581777404365,0.0072946798125587,8.587472812589201,237.02158543918435,1
21,52->19->18->0->96,4,93.04466038046326,0.00462457596528,6.921470991165626,237.02158543918435,1
22,52->19->45->0->5->96,5,101.70661237669634,0.0092207665572692,4.134918756548508,195.0598831034584,1
23,52->8->35->0->4->96,5,39.90176115582595,0.0124245007900364,9.318790641110626,104.9906452443194,1
24,52->19->9->4->5->96,5,105.86491211490254,0.0082336050958513,4.141683309716964,202.8870475816289,1
25,52->19->9->0->4->96,5,63.78270741990531,0.008596878873352,8.28198638238044,237.02158543918435,1
26,52->8->20->5->96,4,56.78412120989967,0.0069031823385388,6.701224152072496,104.9906452443194,1
27,52->19->18->50->55->5->96,6,132.55101435438152,0.0109197091150328,4.469492525739437,237.02158543918435,1
28,52->19->60->33->54->0->96,6,154.38727453181798,0.0043924035876907,10.814252083390643,237.02158543918435,1
29,52->19->60->33->54->18->0->96,7,145.69595689863343,0.0039800707773183,12.042140286812815,237.02158543918435,1
30,52->40->24->7->3->0->96,6,126.86134130128086,0.0063660402246655,14.256351135371848,508.4479901465887,1
31,52->8->26->7->18->0->4->96,7,48.52194631209497,0.0092505115651574,13.167264405016148,104.9906452443194,1
32,52->8->41->0->4->96,5,45.220932391797305,0.0113468481075127,10.420705252387588,104.9906452443194,1
1,52->18->7->5->96,4,80.10943367094109,0.0079254339601771,3.3074576583270625,191.39825806115925,2
2,52->18->0->96,3,76.00926963713992,0.0018911284788719,5.482324348171019,191.39825806115925,2
3,52->8->31->0->4->96,5,32.595099345668615,0.0094881357057065,8.997522501124422,87.36729559635947,2
4,52->8->26->5->96,4,54.67184394729789,0.007020244694735,4.635326058370969,104.9906452443194,2
5,52->18->0->4->96,4,49.20042703072031,0.004568564824496,7.148326169594593,191.39825806115925,2
6,52->18->0->5->96,4,75.60181910067071,0.005578090475268,3.8980187632171095,191.39825806115925,2
7,52->19->9->4->96,4,76.10462171210511,0.0074882317174171,5.373128045900009,237.02158543918435,2
8,52->19->22->96,3,104.0888706151946,0.0048824634410687,6.668926761412449,237.02158543918435,2
9,52->19->9->0->4->96,5,63.78270741990531,0.008596878873352,8.28198638238044,237.02158543918435,2
10,52->40->6->5->96,4,71.88285198784207,0.0065173839518483,7.805829597834694,437.82494266122296,2
11,52->19->5->96,3,78.48369407641349,0.0051094211668836,4.774695711559714,237.02158543918435,2
12,52->8->41->5->96,4,70.16844484173127,0.0068394615602183,5.588022128735142,104.9906452443194,2
13,52->40->6->0->96,4,117.8183757689714,0.0065034124565241,9.48272492796548,329.225065645651,2
14,52->19->18->0->96,4,93.04466038046326,0.00462457596528,6.921470991165626,237.02158543918435,2
15,52->19->26->5->96,4,85.33211317188263,0.0057636462204131,3.3698800742141355,129.61621770616708,2
16,52->8->71->5->96,4,55.96905905010976,0.0070031171467477,5.1201135864508815,104.9906452443194,2
17,52->19->9->4->5->96,5,105.86491211490254,0.0082336050958513,4.141683309716964,202.8870475816289,2
18,52->19->18->50->55->5->96,6,132.55101435438152,0.0109197091150328,4.469492525739437,237.02158543918435,2
19,52->18->50->55->5->96,5,115.51562361105816,0.0082035489912309,3.0303458827448297,191.39825806115925,2
20,52->18->0->13->5->96,5,72.8039050971172,0.0083967940847501,6.181263242014537,132.02530363108585,2
21,52->8->20->5->96,4,56.78412120989967,0.0069031823385388,6.701224152072496,104.9906452443194,2
22,52->18->7->39->5->96,5,97.24147504105616,0.0094483477389912,2.799579872320858,191.39825806115925,2
23,52->19->45->0->5->96,5,101.70661237669634,0.0092207665572692,4.134918756548508,195.0598831034584,2
24,52->19->45->0->4->96,5,75.30522030674594,0.0082149389092333,7.385226162925992,195.0598831034584,2
25,52->18->7->13->5->96,5,74.9922787761628,0.0102290171823732,5.01415986307217,132.02530363108585,2
26,52->19->18->0->4->96,5,66.23581777404365,0.0072946798125587,8.587472812589201,237.02158543918435,2
27,52->40->24->7->3->0->96,6,126.86134130128086,0.0063660402246655,14.256351135371848,508.4479901465887,2
28,52->8->41->0->4->96,5,45.220932391797305,0.0113468481075127,10.420705252387588,104.9906452443194,2
29,52->19->18->7->5->96,5,97.14482441426442,0.0106423557371957,4.74660430132167,237.02158543918435,2
30,52->8->35->0->4->96,5,39.90176115582595,0.0124245007900364,9.318790641110626,104.9906452443194,2
31,52->40->6->27->8->3->0->96,7,140.92618138594975,0.0074267551466047,14.004084954468254,444.7787074988309,2
1,52->8->31->0->4->96,5,32.595099345668615,0.0094881357057065,8.997522501124422,87.36729559635947,3
2,52->18->0->4->96,4,49.20042703072031,0.004568564824496,7.148326169594593,191.39825806115925,3
3,52->18->0->96,3,76.00926963713992,0.0018911284788719,5.482324348171019,191.39825806115925,3
4,52->18->7->5->96,4,80.10943367094109,0.0079254339601771,3.3074576583270625,191.39825806115925,3
5,52->19->5->96,3,78.48369407641349,0.0051094211668836,4.774695711559714,237.02158543918435,3
6,52->8->26->5->96,4,54.67184394729789,0.007020244694735,4.635326058370969,104.9906452443194,3
7,52->18->0->5->96,4,75.60181910067071,0.005578090475268,3.8980187632171095,191.39825806115925,3
8,52->19->26->5->96,4,85.33211317188263,0.0057636462204131,3.3698800742141355,129.61621770616708,3
9,52->40->6->5->96,4,71.88285198784207,0.0065173839518483,7.805829597834694,437.82494266122296,3
10,52->19->22->96,3,104.0888706151946,0.0048824634410687,6.668926761412449,237.02158543918435,3
11,52->19->9->4->96,4,76.10462171210511,0.0074882317174171,5.373128045900009,237.02158543918435,3
12,52->19->9->0->4->96,5,63.78270741990531,0.008596878873352,8.28198638238044,237.02158543918435,3
13,52->19->18->0->96,4,93.04466038046326,0.00462457596528,6.921470991165626,237.02158543918435,3
14,52->19->9->4->5->96,5,105.86491211490254,0.0082336050958513,4.141683309716964,202.8870475816289,3
15,52->40->6->0->96,4,117.8183757689714,0.0065034124565241,9.48272492796548,329.225065645651,3
16,52->40->24->7->3->0->96,6,126.86134130128086,0.0063660402246655,14.256351135371848,508.4479901465887,3
17,52->19->45->0->4->96,5,75.30522030674594,0.0082149389092333,7.385226162925992,195.0598831034584,3
18,52->18->7->39->5->96,5,97.24147504105616,0.0094483477389912,2.799579872320858,191.39825806115925,3
19,52->19->60->33->54->18->0->96,7,145.69595689863343,0.0039800707773183,12.042140286812815,237.02158543918435,3
20,52->40->6->18->0->96,5,114.50149034138984,0.0058525566157039,13.434624384500104,444.7787074988309,3
21,52->8->71->5->96,4,55.96905905010976,0.0070031171467477,5.1201135864508815,104.9906452443194,3
22,52->8->20->5->96,4,56.78412120989967,0.0069031823385388,6.701224152072496,104.9906452443194,3
