Solucion,Ruta,Saltos,Latencia,Perdida,Jitter,AnchoBanda
1,46->41->5->26,3,107.07906664779954,0.0039048324748676144,2.837479768794644,606.3435702076476
2,46->23->8->26,3,50.21248499300348,0.0032748105606806854,3.8488713013292575,264.0761289918355
3,46->3->0->8->26,4,40.78062777922707,0.004382381951346215,5.719764845540933,218.66166389080027
4,46->3->0->5->26,4,54.112688526620865,0.006406137223476938,5.331926341674538,353.4990571468111
5,46->3->6->5->26,4,66.53073153067751,0.0056027709490028554,8.135483772227388,283.82441992986486
6,46->3->0->55->5->26,5,90.20119894932044,0.00553970724234254,7.800416069001332,353.4990571468111
7,46->3->7->5->26,4,81.98147313929069,0.0055808648314690235,5.610623855468585,353.4990571468111
8,46->3->56->7->8->26,5,48.08160793838342,0.010139982712787043,9.588242426691673,264.0761289918355
9,46->23->8->41->5->26,5,106.4826117673844,0.005145310557714722,6.942418597447593,482.1754041160375
10,46->3->7->39->5->26,5,99.11351450940576,0.007107377711352392,5.1027460694623805,353.4990571468111
